START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,Year,Month,Day,Hour,Weekday
11-02-2016 20:36,11-02-2016 20:51,Business,Morrisville,Cary,6.1,Temporary Site,2016,2,11,20,Thursday
12-02-2016 08:21,12-02-2016 08:42,Business,Cary,Durham,8.5,Temporary Site,2016,2,12,8,Friday
12-02-2016 10:45,12-02-2016 10:52,Business,Durham,Morrisville,2.6,Temporary Site,2016,2,12,10,Friday
12-02-2016 11:14,12-02-2016 11:35,Business,Morrisville,Raleigh,17,Customer Visit,2016,2,12,11,Friday
12-02-2016 13:02,12-02-2016 13:36,Business,Raleigh,Cary,18,Meeting,2016,2,12,13,Friday
12-02-2016 14:49,12-02-2016 15:06,Business,Cary,Morrisville,8.4,Meeting,2016,2,12,14,Friday
12-02-2016 15:33,12-02-2016 16:06,Business,Morrisville,Cary,11.5,Customer Visit,2016,2,12,15,Friday
01-03-2016 18:47,01-03-2016 19:10,Business,Whitebridge,Wayne Ridge,8,Meal/Entertain,2016,3,1,18,Tuesday
01-03-2016 21:27,01-03-2016 21:45,Business,Wayne Ridge,Whitebridge,8,Meeting,2016,3,1,21,Tuesday
03-03-2016 11:04,03-03-2016 11:10,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,2016,3,3,11,Thursday
03-03-2016 14:44,03-03-2016 14:58,Business,Whitebridge,Northwoods,5.2,Meal/Entertain,2016,3,3,14,Thursday
03-03-2016 15:27,03-03-2016 15:48,Business,Cary,Raleigh,7.6,Customer Visit,2016,3,3,15,Thursday
03-03-2016 16:02,03-03-2016 16:42,Business,Raleigh,Cary,17.3,Meeting,2016,3,3,16,Thursday
04-03-2016 07:47,04-03-2016 08:06,Business,Cary,Durham,9.9,Meeting,2016,3,4,7,Friday
04-03-2016 09:46,04-03-2016 10:03,Business,Durham,Cary,9.9,Customer Visit,2016,3,4,9,Friday
04-03-2016 11:46,04-03-2016 12:06,Business,Cary,Durham,10.4,Meeting,2016,3,4,11,Friday
04-03-2016 13:03,04-03-2016 13:25,Business,Durham,Cary,10.9,Meeting,2016,3,4,13,Friday
04-03-2016 13:40,04-03-2016 14:09,Business,Cary,Raleigh,15.7,Customer Visit,2016,3,4,13,Friday
04-03-2016 15:56,04-03-2016 16:08,Business,Raleigh,Raleigh,4.9,Meal/Entertain,2016,3,4,15,Friday
04-03-2016 16:16,04-03-2016 16:22,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies,2016,3,4,16,Friday
04-03-2016 16:43,04-03-2016 17:12,Business,Raleigh,Cary,13.5,Meeting,2016,3,4,16,Friday
04-03-2016 19:02,04-03-2016 19:08,Business,Cary,Morrisville,1.9,Temporary Site,2016,3,4,19,Friday
04-03-2016 19:16,04-03-2016 19:25,Business,Morrisville,Cary,2,Meal/Entertain,2016,3,4,19,Friday
05-03-2016 11:44,05-03-2016 11:59,Business,Cary,Morrisville,6.5,Meal/Entertain,2016,3,5,11,Saturday
05-03-2016 14:39,05-03-2016 15:01,Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain,2016,3,5,14,Saturday
05-03-2016 16:52,05-03-2016 17:13,Business,Cary,Morrisville,7.8,Meal/Entertain,2016,3,5,16,Saturday
05-03-2016 17:23,05-03-2016 17:34,Business,Morrisville,Cary,3.9,Meal/Entertain,2016,3,5,17,Saturday
07-03-2016 09:10,07-03-2016 09:20,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies,2016,3,7,9,Monday
07-03-2016 09:23,07-03-2016 09:47,Business,Cary,Raleigh,12.4,Customer Visit,2016,3,7,9,Monday
07-03-2016 12:10,07-03-2016 12:26,Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit,2016,3,7,12,Monday
07-03-2016 13:57,07-03-2016 14:18,Business,Meredith Townes,Leesville Hollow,9.4,Meeting,2016,3,7,13,Monday
07-03-2016 15:19,07-03-2016 15:45,Business,Raleigh,Cary,11.9,Between Offices,2016,3,7,15,Monday
08-03-2016 14:38,08-03-2016 14:55,Business,Whitebridge,Waverly Place,7.2,Between Offices,2016,3,8,14,Tuesday
08-03-2016 15:35,08-03-2016 16:00,Business,Waverly Place,Whitebridge,7.6,Meal/Entertain,2016,3,8,15,Tuesday
10-03-2016 03:36,10-03-2016 03:53,Business,Cary,Morrisville,8.4,Meeting,2016,3,10,3,Thursday
10-03-2016 10:08,10-03-2016 10:37,Business,East Austin,West University,12.8,Meeting,2016,3,10,10,Thursday
11-03-2016 09:47,11-03-2016 09:59,Business,The Drag,Congress Ave District,2,Meal/Entertain,2016,3,11,9,Friday
01-04-2016 13:43,01-04-2016 14:01,Business,Kissimmee,Kissimmee,11,Meeting,2016,4,1,13,Friday
01-04-2016 14:36,01-04-2016 15:24,Business,Kissimmee,Orlando,15.5,Customer Visit,2016,4,1,14,Friday
01-04-2016 16:01,01-04-2016 16:49,Business,Orlando,Kissimmee,20.3,Meeting,2016,4,1,16,Friday
02-04-2016 12:21,02-04-2016 14:47,Business,Kissimmee,Daytona Beach,77.3,Customer Visit,2016,4,2,12,Saturday
02-04-2016 16:57,02-04-2016 18:09,Business,Daytona Beach,Jacksonville,80.5,Customer Visit,2016,4,2,16,Saturday
02-04-2016 19:38,02-04-2016 22:36,Business,Jacksonville,Ridgeland,174.2,Customer Visit,2016,4,2,19,Saturday
02-04-2016 23:11,03-04-2016 01:34,Business,Ridgeland,Florence,144,Meeting,2016,4,2,23,Saturday
03-04-2016 02:00,03-04-2016 04:16,Business,Florence,Cary,159.3,Meeting,2016,4,3,2,Sunday
05-04-2016 21:39,05-04-2016 21:55,Business,Whitebridge,Wayne Ridge,7.9,Meal/Entertain,2016,4,5,21,Tuesday
06-04-2016 00:19,06-04-2016 00:39,Business,Wayne Ridge,Whitebridge,8,Meal/Entertain,2016,4,6,0,Wednesday
07-04-2016 18:20,07-04-2016 18:39,Business,Cary,Morrisville,6.1,Meal/Entertain,2016,4,7,18,Thursday
07-04-2016 19:45,07-04-2016 20:00,Business,Morrisville,Cary,6.1,Errand/Supplies,2016,4,7,19,Thursday
08-04-2016 12:30,08-04-2016 12:48,Business,Cary,Durham,10.5,Meeting,2016,4,8,12,Friday
08-04-2016 13:34,08-04-2016 13:51,Business,Durham,Cary,8.7,Meal/Entertain,2016,4,8,13,Friday
08-04-2016 13:55,08-04-2016 14:03,Business,Westpark Place,Whitebridge,1.8,Errand/Supplies,2016,4,8,13,Friday
08-04-2016 14:43,08-04-2016 15:20,Business,Cary,Raleigh,19.1,Meeting,2016,4,8,14,Friday
08-04-2016 16:05,08-04-2016 16:47,Business,Raleigh,Cary,18.6,Meeting,2016,4,8,16,Friday
12-04-2016 09:15,12-04-2016 09:26,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies,2016,4,12,9,Tuesday
12-04-2016 09:34,12-04-2016 09:53,Business,Cary,Raleigh,8.9,Meeting,2016,4,12,9,Tuesday
12-04-2016 10:58,12-04-2016 11:18,Business,Meredith,Cedar Hill,7.5,Customer Visit,2016,4,12,10,Tuesday
12-04-2016 12:22,12-04-2016 12:44,Business,Raleigh,Morrisville,15.9,Meeting,2016,4,12,12,Tuesday
12-04-2016 13:42,12-04-2016 14:01,Business,Morrisville,Cary,6.5,Meal/Entertain,2016,4,12,13,Tuesday
01-05-2016 13:45,01-05-2016 13:53,Business,Whitebridge,Westpark Place,2.1,Meal/Entertain,2016,5,1,13,Sunday
01-05-2016 17:33,01-05-2016 17:45,Business,Whitebridge,Tanglewood,6.2,Between Offices,2016,5,1,17,Sunday
01-05-2016 17:54,01-05-2016 18:10,Business,Tanglewood,Parkway,7.5,Meeting,2016,5,1,17,Sunday
01-05-2016 22:38,01-05-2016 22:49,Business,Parkway,Whitebridge,3.1,Errand/Supplies,2016,5,1,22,Sunday
02-05-2016 14:14,02-05-2016 14:21,Business,Whitebridge,Westpark Place,2.2,Errand/Supplies,2016,5,2,14,Monday
02-05-2016 15:37,02-05-2016 15:48,Business,Westpark Place,Whitebridge,3.9,Meal/Entertain,2016,5,2,15,Monday
03-05-2016 22:20,03-05-2016 22:28,Business,Morrisville,Cary,2.5,Meal/Entertain,2016,5,3,22,Tuesday
04-05-2016 15:16,04-05-2016 15:37,Business,Cary,Morrisville,8.7,Meal/Entertain,2016,5,4,15,Wednesday
04-05-2016 20:55,04-05-2016 21:14,Business,Mcvan,Capitol One,14.5,Errand/Supplies,2016,5,4,20,Wednesday
04-05-2016 21:30,04-05-2016 21:36,Business,Capitol One,University District,4.5,Meal/Entertain,2016,5,4,21,Wednesday
04-05-2016 22:19,04-05-2016 22:27,Business,University District,Capitol One,5,Meal/Entertain,2016,5,4,22,Wednesday
05-05-2016 21:24,05-05-2016 21:36,Business,Seattle,Redmond,14.2,Meal/Entertain,2016,5,5,21,Thursday
